Condition,HNRNPM,RPS13,IKZF1,LSM6,CTDP1,CCNE2,DEFA1,ITGA2,EFNB3,FABP7,TRO,MAP3K8,STAT5B,ZBTB48,RAD51,FOXN3,ARL4A,VIPR1,TGFA,IFT27,SLC38A2,FGFBP1,ORM2,GPR162,ITGAE,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,ASNS,CENPE,AKAP10,GABRP,CFTR,GNE,ORM1,ADORA2A,SLC26A1,AMMECR1,GPC4,GIT2,SLC22A18,CLOCK,SH3BGR,CLASRP,DDX10,EMP2
Healthy,8.65026,13.17961,4.86123,8.71488,6.9154,4.62449,4.29159,7.91676,5.45688,8.41756,3.77705,7.95913,5.81302,6.20846,4.61311,6.70911,9.83886,7.20176,7.42259,7.58349,11.13327,10.5057,2.13014,5.59418,8.24886,4.03213,6.49025,7.43911,9.26377,5.32706,5.19672,6.3238,8.23708,5.87626,6.28164,7.19833,7.56671,5.24521,4.14234,4.96821,5.46485,8.82834,6.03165,6.0971,6.5752,8.01439,7.13032,9.38243,7.07135,11.30207
Healthy,8.49412,12.96355,4.64803,9.01073,6.55331,5.50358,4.50683,8.3302,5.73437,9.3624,3.92148,7.83974,5.44268,4.84965,5.32005,6.94306,10.89878,7.43113,6.52924,7.512,11.47343,9.56993,2.12487,5.12367,8.35827,4.56206,7.57467,7.37466,9.68828,5.19097,5.0641,6.44888,8.81005,6.27907,6.30116,6.19583,6.95195,4.95871,3.93946,5.03229,5.1078,9.26729,5.31154,5.89302,4.94923,8.09457,6.42757,9.33958,7.4672,11.06671
Healthy,9.02615,12.88973,4.54371,8.94645,7.21217,4.55678,5.11731,8.01986,5.61272,7.0386,3.9007,7.70477,5.94661,6.09596,4.37074,7.16948,10.58186,7.13197,7.48754,7.40954,10.98684,9.69496,2.33255,5.86854,8.25085,4.08366,7.12229,7.52657,9.20079,5.56107,5.32795,7.16039,7.97537,5.65672,6.63922,6.09162,6.86619,4.74397,4.17107,4.98879,5.46972,8.6091,5.59741,5.52381,6.50286,7.84068,7.33454,9.4518,7.23249,11.24255
Healthy,8.94292,13.033,5.03236,8.47401,7.15254,4.16577,4.64699,8.37526,4.46957,7.59241,3.78762,7.31416,6.11494,6.40191,5.78515,7.77115,10.3558,7.11405,6.70998,7.30061,11.39082,10.20243,2.21747,5.50709,8.28882,4.43274,7.07681,7.23231,9.43403,5.70341,5.61034,8.86179,7.6548,5.47438,5.93808,7.13281,8.53906,6.20701,4.29605,5.15317,5.40533,8.50282,6.15811,5.85081,6.43642,8.02976,6.82716,9.12721,7.04129,10.96658
Healthy,8.83847,13.08494,4.93735,8.52434,7.04602,3.73235,4.60659,7.79855,5.9406,6.34258,3.73357,7.4984,5.77014,5.95734,5.38348,7.26275,10.37246,7.32586,7.00367,7.28466,11.30311,9.83717,2.39833,5.80369,7.88881,5.1416,7.38374,6.28991,8.16478,5.6612,5.43222,5.77306,7.97055,5.10197,6.44582,4.68201,6.18124,4.24022,4.38367,5.10224,5.4079,9.02759,5.0577,6.20285,6.05524,7.7809,6.46245,9.42421,7.17881,11.39857
Healthy,8.76112,13.12097,4.02513,8.86912,7.12791,4.65859,4.38259,8.17264,5.05112,9.4314,3.5418,8.54414,5.20781,6.16837,4.74036,7.28412,10.2823,7.44316,7.70283,7.59958,11.6764,10.90612,2.23822,5.56972,8.40995,4.11969,7.41924,7.14976,8.47198,5.44466,5.37862,6.68104,7.96924,6.77971,6.51236,4.85442,6.75697,4.52639,3.96738,5.23384,5.0319,8.9209,5.86597,6.0698,6.82296,7.89883,5.52162,9.01372,7.15303,11.34788
Healthy,8.89654,12.98563,4.695,8.90283,7.07649,3.44925,6.97426,8.27307,6.03667,10.19591,3.77463,7.50956,6.09147,6.4047,4.88967,6.52466,10.33604,6.92163,7.35308,7.55406,11.10367,8.91508,2.2957,5.60186,8.13264,3.22141,6.81866,7.65039,8.97157,5.13799,5.41117,7.37353,7.7108,5.88615,6.62107,6.4715,7.55678,5.23223,4.28555,5.80945,5.23027,8.4597,5.39718,6.1176,6.41975,7.93282,6.95777,9.47829,7.51208,11.11277
Healthy,8.60291,13.35178,4.58452,8.91856,7.33263,4.00951,4.60174,7.15393,5.47722,8.37281,4.24151,7.17134,5.68272,6.66587,3.86282,6.28869,10.38886,7.65286,6.86852,6.83786,10.70138,10.41077,3.21107,5.69208,8.57171,3.64671,7.04918,7.72313,7.52945,5.55568,5.36291,9.13567,7.6921,3.24639,6.48049,6.86412,6.99161,4.68894,4.50306,5.56118,5.738,8.29519,4.01069,6.64899,7.04836,7.06087,6.92325,9.91108,6.7151,10.57655
Healthy,9.00882,12.95545,4.84752,8.27866,7.54283,4.35261,4.0792,7.84162,5.65578,8.45001,4.00231,7.27441,5.96214,6.2229,4.37084,7.20483,9.9277,7.03318,7.1972,7.53041,10.9589,9.4258,2.13649,5.67493,7.58195,3.84537,6.55684,7.49934,8.80208,5.83646,5.18474,6.14241,7.45284,5.40603,6.45177,6.88236,8.89875,5.83778,4.4233,5.26047,5.75617,8.44378,6.09361,6.21099,6.16771,8.3778,8.19728,9.38321,7.43935,10.86426
Healthy,8.08468,13.41444,4.87908,9.03909,7.41009,4.28939,4.66158,6.82582,5.10048,8.4745,4.27769,7.36114,5.67772,6.85746,3.44572,5.19732,10.54985,7.79381,6.64882,7.16433,10.93295,9.6363,2.39212,6.06602,8.64006,2.65841,7.08688,7.28893,7.81768,6.0078,5.82141,6.64687,7.81677,4.24257,6.76016,6.87863,7.47061,4.98188,4.23215,5.08334,6.45879,7.7421,4.66607,6.32956,6.76435,6.73523,6.87873,10.16759,6.40849,10.48917
Healthy,8.74354,13.05756,4.53843,8.79517,7.094,4.17064,4.5057,8.41405,5.16186,11.79486,3.64633,7.4001,5.92525,6.07834,3.99077,7.55997,9.90803,7.09526,6.84929,7.43079,11.04861,9.62577,2.27818,5.67922,8.18228,3.92311,6.94445,7.3914,8.3537,5.46578,5.47818,6.44288,7.26689,5.95958,6.32613,5.07342,6.57434,4.52308,4.28638,5.45337,5.86213,8.6631,5.87105,5.88544,6.32642,7.86229,7.14774,9.61596,6.71231,11.3831
Healthy,8.73134,13.1228,5.06896,8.68227,6.90719,4.47341,4.00285,8.38607,5.66012,7.64936,3.8438,7.0045,5.7563,6.46059,4.55177,6.55593,10.35612,7.4512,6.97931,7.03617,11.36364,9.76885,2.16513,5.64823,7.92441,4.03027,6.88524,7.40366,8.90919,5.46896,5.44469,8.40637,7.55524,6.30428,5.53348,8.00833,7.85717,4.82339,4.02898,5.04525,5.22679,8.46025,6.26245,6.09345,6.01281,7.72342,7.14685,9.5218,6.49155,11.24829
Healthy,8.92759,13.21694,4.74447,8.90157,7.06637,5.04725,4.17155,8.14955,5.18522,8.58554,3.95462,7.74657,5.56657,6.20182,4.49628,6.61333,10.38057,6.72573,7.62191,7.2886,11.41124,10.89179,2.0893,5.0308,8.23756,5.02106,7.3394,7.29982,8.36434,5.31543,4.8417,7.93535,8.65373,6.56831,6.34349,3.75869,4.73936,4.71627,4.17292,5.04124,5.50497,8.75489,4.86032,5.59936,6.43785,8.26199,6.33675,9.54849,7.22987,11.10938
Healthy,9.22737,13.05364,5.08175,8.88939,7.22339,3.97061,4.04873,7.83712,6.18455,5.35993,3.73357,7.05985,5.85688,6.0913,4.11476,6.77249,10.2875,7.39822,7.79377,7.79377,11.09962,8.94607,2.17781,5.66212,8.08813,4.76964,7.02147,7.14735,9.00221,5.64719,5.36513,8.5788,7.51623,6.37283,6.42272,6.33107,6.95891,4.93775,4.28745,5.09814,5.2584,8.47181,6.23512,5.58947,6.16439,7.90808,6.75496,9.6755,7.01487,11.19119
Healthy,8.95353,13.14145,4.90166,8.87393,6.94746,3.55073,4.31987,8.48407,6.12531,9.44865,3.7374,7.31291,5.58066,6.44066,4.41904,7.26672,10.56153,7.10867,7.89311,7.46367,11.2726,9.46309,2.52783,5.76582,8.17495,4.5014,7.29554,7.01923,8.96683,5.54629,5.79538,8.78443,8.40335,6.15839,6.32888,3.46994,5.66729,4.9429,4.30715,5.22715,5.74032,8.85013,5.28483,6.09844,6.58292,8.05333,6.88718,9.62925,7.55101,11.31756
Healthy,8.78929,12.96115,4.86145,8.77163,6.88637,4.47745,6.91568,7.89517,5.21866,9.2899,4.12495,6.53794,5.97159,5.92355,4.31323,7.08524,10.12026,7.19553,7.0476,7.32101,10.79008,9.04437,1.94572,5.55095,8.38036,4.13046,6.83832,7.50885,8.78427,5.23959,5.44701,8.95938,7.6048,5.97317,6.37022,6.87781,7.54971,5.60253,4.20706,5.38252,4.91969,8.41966,6.66771,5.6133,6.26979,7.79136,7.39074,9.39736,6.50424,10.95721
Healthy,8.54566,13.04944,4.85575,9.4195,6.85412,5.18763,4.49736,7.4208,6.81271,10.6643,3.81347,8.50272,5.23539,5.42106,5.48274,5.66029,10.58521,7.04876,6.89303,7.66133,10.96552,9.83911,2.18139,5.10027,9.19619,4.14349,8.13038,8.00267,9.43469,5.47914,4.94203,7.01471,8.17762,5.84602,6.17903,4.88626,6.82534,5.41279,4.17549,5.23458,5.23011,8.92284,5.61095,5.62188,5.7846,8.10022,6.58079,9.58842,7.67025,10.85397
Healthy,8.37008,12.80362,4.69343,8.33454,6.39767,4.74083,4.64523,8.50034,5.4979,7.85295,4.10679,6.73989,5.36207,4.59362,6.85251,5.88336,10.4208,7.21566,5.36855,7.36174,11.33622,7.87117,2.38163,5.39862,8.46822,6.11687,6.89863,7.62874,9.12656,4.73044,5.00609,5.73756,9.09243,5.64213,6.23743,7.26106,7.79432,5.27661,4.15637,5.10911,5.13932,8.40086,6.41335,5.2322,4.64817,8.08243,7.18501,10.08499,6.58569,10.38893
Healthy,8.81726,12.7815,5.51166,8.53952,7.23347,5.42237,4.63753,8.1948,5.92709,7.65935,3.68269,7.08616,5.59877,6.00454,4.37815,6.86364,10.06847,6.81446,7.75518,7.42601,10.78701,9.84003,2.43605,5.70033,7.94334,4.83172,7.06644,7.62698,9.08596,5.29171,5.59011,6.90991,7.51223,6.0285,6.3284,5.50745,6.03216,4.70052,4.26083,5.94714,5.4873,9.05466,6.03322,5.51869,5.73075,7.8646,6.98586,9.2401,6.95148,10.97602
Healthy,8.86624,12.97302,4.70493,8.67949,7.0618,3.49061,4.49341,8.28193,5.00952,7.66705,3.66311,5.91735,5.44085,5.96512,5.0051,7.05781,9.9493,6.83211,6.9159,7.39521,11.1407,9.52079,2.06582,5.65299,8.31026,3.95131,7.2028,6.77918,9.24687,5.20892,4.9801,9.24637,7.67945,5.0843,6.55579,5.33439,7.22178,5.23251,4.11132,5.62976,4.98443,8.38615,6.04315,5.82572,6.267,7.58649,7.18469,9.45342,7.87946,10.66208
Healthy,8.91763,13.05346,5.43755,8.24135,6.94102,4.30066,6.11794,8.15618,6.73086,9.88322,4.18649,7.02013,5.75178,6.06488,4.39677,7.27836,10.32381,7.04913,7.14126,7.33015,11.16157,8.88428,2.04126,5.0878,8.42154,3.78434,6.76852,7.04386,8.89223,5.57461,5.20596,6.44276,8.42031,4.78364,6.76408,3.53969,6.40508,5.318,4.40706,4.73073,5.41934,8.82906,5.21922,6.29583,5.94192,7.61885,6.66331,9.60936,7.12125,10.94958
Healthy,8.82629,12.92784,4.87028,8.76411,7.13137,4.41473,6.3649,8.28194,5.80458,10.05292,3.89972,7.21713,6.2438,6.61091,3.49218,6.79594,10.34563,7.76323,8.12621,7.92148,11.05824,9.85143,2.45284,5.60034,8.12154,2.92486,7.15344,7.41464,9.3018,5.55009,5.19107,6.51018,7.61452,6.38228,6.78225,6.18816,6.94675,6.02198,4.17369,4.72816,5.26378,8.56695,6.2901,5.70153,5.68466,7.872,6.96216,9.19183,7.77646,10.79319
Healthy,9.13604,12.77325,5.26913,9.10034,7.12977,3.78207,5.66996,8.382,6.3365,9.43716,3.92122,6.40963,5.71543,6.21101,4.33713,6.78447,10.29389,6.98397,7.6712,7.47188,10.78417,9.39729,2.11748,5.26297,8.25368,3.06729,7.24362,7.91009,9.47492,5.41585,5.01065,6.76018,7.74225,6.10953,6.62276,6.40428,6.96003,5.57133,4.43055,5.34738,5.29273,8.73649,6.45475,5.72562,6.12993,7.73912,7.26396,9.25127,7.16882,10.68103
Healthy,8.75178,13.20473,4.70028,9.01258,7.01759,4.34919,4.25945,8.58252,5.92739,10.60416,3.98455,7.08817,5.87061,6.15255,4.26029,6.82758,9.98869,6.96729,6.87443,7.47151,11.1583,9.36849,2.40003,5.30847,8.14284,3.66084,7.00322,7.46986,8.66371,5.27086,5.25578,8.8577,7.97967,5.06103,6.09059,5.8829,6.8189,4.94505,3.97271,5.23657,5.49491,8.20981,5.76312,5.66411,6.5461,7.79196,7.11572,9.63663,7.07402,11.25644
Healthy,8.64921,12.77789,4.37422,8.81286,6.51269,3.02179,5.45769,8.00096,4.63266,4.91336,3.71423,5.43008,6.28977,6.14764,3.62349,5.87268,9.96969,7.84025,6.79769,7.73656,10.64059,5.81904,2.05259,5.18922,7.73752,3.6644,6.14503,7.9623,9.93773,5.24757,5.04861,5.33944,7.76752,3.02777,6.56114,8.7478,10.06308,6.65209,4.26278,4.95819,5.43291,6.41973,7.13148,5.66487,5.33502,7.96148,9.17934,9.07066,6.6152,9.57008
Healthy,8.77007,12.97229,5.02671,8.68346,7.08643,4.65859,3.57705,7.82432,5.3256,9.86398,3.64338,6.35155,5.2661,5.74107,4.04823,7.40799,10.37561,6.65281,7.03126,7.62511,11.0412,8.61284,2.30756,5.45662,7.9619,3.36801,6.42617,7.29792,8.98387,5.59748,5.1725,6.50884,7.96922,4.97077,6.41381,7.16945,8.15868,5.38215,4.32595,5.72998,5.48884,8.53081,6.07117,5.43206,6.11113,8.20711,8.43924,9.30904,6.5372,10.78942
Healthy,8.84667,13.22013,4.59863,8.92649,7.26986,3.86392,4.31576,7.952,5.43771,6.20322,4.12142,6.99737,5.84459,6.85539,4.64476,7.12115,10.23291,7.47938,6.92718,6.67303,11.25935,8.38091,2.03598,5.75806,8.01815,3.75997,6.35579,6.52709,8.95573,5.39726,5.22604,6.59337,8.46007,5.43978,6.65701,6.63825,6.91292,4.49591,4.45596,4.93248,5.49353,8.29395,5.73461,6.12107,5.56661,8.16636,7.12092,10.48755,6.53612,10.39243
Healthy,8.72787,13.06056,4.54694,9.12168,7.07589,4.32859,6.41342,8.0961,5.53993,10.52692,3.78073,7.14476,5.82682,6.45904,3.73037,7.45484,10.02017,7.63944,8.23746,7.06728,11.33797,9.79183,2.483,5.44224,8.31795,3.71362,6.71083,7.11702,9.01809,5.45211,4.95091,6.46234,7.89804,5.87724,6.51255,4.61245,5.22511,4.63706,4.23388,5.10185,5.68019,8.14341,5.53304,5.2577,6.23575,7.18458,7.18314,9.84451,6.87208,11.00773
Healthy,8.61913,13.05631,5.31771,8.81781,6.92618,3.70033,4.39802,8.04251,5.46021,11.04038,3.73787,6.47852,6.09696,6.11238,4.12069,6.45554,10.09316,6.9777,7.5113,7.38223,10.68774,8.66234,2.1085,5.63331,8.22266,3.45128,6.97108,7.71504,8.94054,5.74775,5.59036,6.30575,7.13974,5.83412,6.57779,6.07982,6.30195,4.94961,4.24568,5.86198,5.58265,7.95762,6.52462,6.15178,6.82092,8.11252,7.36761,9.72239,6.64771,11.06843
Healthy,8.58867,13.17357,4.45904,8.60379,7.08799,3.52388,4.21174,8.67315,5.35179,8.89196,4.01615,6.80281,6.07041,6.17398,3.93272,6.88405,10.2488,8.01256,7.1066,7.32769,11.17082,9.03377,2.24297,5.30729,8.17502,4.43111,6.61273,7.11654,8.99711,5.45813,5.33899,8.42731,7.92773,5.88292,6.34867,8.03304,8.21129,4.73767,4.15364,4.91634,5.62276,7.97518,5.26145,5.83906,6.21788,7.6855,7.72543,10.02008,6.39639,11.02793
Healthy,8.65037,13.10278,5.2269,8.56898,6.71011,4.05993,4.31239,8.03859,5.53179,9.86165,3.45966,6.09382,5.28919,6.56992,4.15236,6.16449,10.30581,7.33119,6.94716,7.31716,10.88307,8.70352,2.26281,5.5211,8.0952,3.94761,6.92834,7.81343,9.22663,5.32648,4.91456,7.09912,7.95998,5.46135,6.32908,7.5147,8.30948,5.51871,4.62557,5.36993,5.34028,8.01894,6.20411,5.83071,6.73826,7.94854,7.11424,9.5475,6.72119,10.96121
Healthy,8.94391,13.12772,5.53997,8.95444,6.87667,3.81792,5.26249,8.27044,5.47988,5.63774,3.7374,6.59594,6.01272,6.89448,4.09418,7.51517,10.62868,6.74694,7.63243,7.61417,11.42569,8.73209,2.3506,5.11538,7.88228,3.7447,7.26177,7.74798,9.10435,5.38246,4.86222,6.26412,7.98932,6.37747,6.30765,6.42301,7.22335,4.95371,4.50917,5.39963,5.46285,8.50252,5.42852,6.16064,5.86573,7.99022,7.15242,9.47489,7.14907,11.09093
Healthy,9.17349,12.97422,4.59863,8.93215,7.07558,4.21667,4.23353,8.13604,5.35,9.17284,3.53596,6.38333,5.92479,6.22099,5.10233,7.00995,10.10588,7.35089,7.5476,7.79253,11.22064,8.97079,2.16618,5.63212,8.17505,4.49778,7.06451,7.10307,9.04282,5.46107,5.23603,8.77192,8.12288,6.35808,6.19068,6.41325,6.86229,5.34968,4.12339,5.32046,5.06747,8.71867,6.72526,6.00278,6.26546,8.01004,7.14378,9.34208,7.0046,11.1216
Healthy,8.7437,12.91521,4.33466,8.59043,6.69443,3.55991,5.37812,8.01969,3.50985,6.18666,4.30275,6.46188,6.00981,5.27476,3.43929,6.77795,8.54136,6.77869,5.65304,7.8435,10.68388,3.84255,1.99743,5.43783,7.6948,4.1538,6.75086,7.82968,9.45191,5.6355,5.47493,5.51072,8.13952,3.96761,6.19136,8.67727,9.24982,5.86641,4.14917,5.51948,5.6053,7.19653,7.15761,6.13824,6.5755,7.82668,8.36498,9.78401,6.39822,9.15352
